cntr_id,nuts_id,nuts_name,pop_2003,pop_obj1,pop_obj1_ph,pop_obj1_spec_pgm,pop_obj2,pop_obj2_ph,pop_obj2_ph_partly
DE,DE222,"Passau, Kreisfreie Stadt",50.738,0,0,0,0,50.738,0
DE,DE223,"Straubing, Kreisfreie Stadt",44.411,0,0,0,0,0,0
DE,DE224,Deggendorf,116.935,0,0,0,0,85.655,31.28
DE,DE225,Freyung-Grafenau,82.403,0,0,0,82.403,0,0
DE,DE226,Kelheim,112.43,0,0,0,0,30.645,0
DE,DE227,"Landshut, Landkreis",146.35,0,0,0,0,0,0
DE,DE228,"Passau, Landkreis",188.28,0,0,0,0,0,0
DE,DE229,Regen,82.345,0,0,0,82.345,0,0
DE,DE22A,Rottal-Inn,119.552,0,0,0,0,119.552,0
DE,DE22B,Straubing-Bogen,97.177,0,0,0,0,70.088,0
DE,DE22C,Dingolfing-Landau,91.984,0,0,0,0,0,0
DE,DE231,"Amberg, Kreisfreie Stadt",44.512,0,0,0,0,0,0
DE,DE232,"Regensburg, Kreisfreie Stadt",128.295,0,0,0,0,0,0
DE,DE233,"Weiden i. d. OPf.,Kreisfreie Stadt",42.746,0,0,0,0,0,0
DE,DE234,Amberg-Sulzbach,108.946,0,0,0,0,108.946,0
DE,DE235,Cham,131.533,0,0,0,116.136,15.397,0
DE,DE236,Neumarkt i. d. OPf.,128.304,0,0,0,0,89.141,39.163
DE,DE237,Neustadt a. d. Waldnaab,101.172,0,0,0,40.794,59.894,0
DE,DE238,"Regensburg, Landkreis",179.841,0,0,0,0,120.002,0
DE,DE239,Schwandorf,144.741,0,0,0,17.004,127.737,0
DE,DE23A,Tirschenreuth,79.103,0,0,0,57.04,22.008,0
DE,DE241,"Bamberg, Kreisfreie Stadt",69.801,0,0,0,0,0,0
DE,DE242,"Bayreuth, Kreisfreie Stadt",74.675,0,0,0,0,0,0
DE,DE243,"Coburg, Kreisfreie Stadt",42.436,0,0,0,0,0,0
DE,DE244,"Hof, Kreisfreie Stadt",49.909,0,0,0,49.225,0,0
DE,DE245,"Bamberg, Landkreis",144.048,0,0,0,0,144.048,0
DE,DE246,"Bayreuth, Landkreis",109.334,0,0,0,0,109.334,0
DE,DE247,"Coburg, Landkreis",92.113,0,0,0,0,92.113,0
DE,DE248,Forchheim,113.276,0,0,0,0,70.271,0
DE,DE249,"Hof, Landkreis",107.833,0,0,0,107.541,0,0
DE,DE24A,Kronach,74.797,0,0,0,50.839,23.689,0
DE,DE24B,Kulmbach,78.09,0,0,0,0,49.982,28.108
DE,DE24C,Lichtenfels,70.8,0,0,0,0,70.8,0
DE,DE24D,Wunsiedel i. Fichtelgebirge,83.864,0,0,0,83.205,0,0
DE,DE251,"Ansbach, Kreisfreie Stadt",40.616,0,0,0,0,0,0
