DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,1998,1526848,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,1999,1530745,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2000,1535083,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2001,1539416,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2002,1544667,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2003,1549269,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2004,1557291,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2005,1568949,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2006,1580501,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2007,1588567,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2008,1595503,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2009,1602958,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2010,1605897,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2011,1609474,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2012,1614455,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2013,1618592,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2014,1625485,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2015,1636778,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2016,1653691,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2017,1665753,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2018,1670668,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2019,1677542,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2020,1684287,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2021,1690879,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2022,1698796,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2023,1718373,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2024,1723723,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1990,1492636,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1991,1502772,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1992,1522449,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1993,1537523,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1994,1549436,,
